modality	loci	reference_method	callable	partial	missing_or_no_evidence	ties	called_only_accuracy	allele_accuracy	best_observed_individual_caller	best_observed_individual_caller_correct	best_observed_individual_caller_accuracy	best_caller_selected_after_observing_results	candidate_oracle_correct	candidate_oracle_accuracy
rnaseq	321	SimplePluralityLex	321	0	0	4	0.9532710280373832	0.9719626168224299	Caller:HLA-HD	297	0.9252336448598131	1	308	0.9595015576323987
wes	390	SimplePluralityLex	390	0	0	5	0.9358974358974359	0.9653846153846154	Caller:OptiType	360	0.9230769230769231	1	375	0.9615384615384616
wgs	411	SimplePluralityLex	407	0	4	106	0.40294840294840295	0.6690997566909975	Caller:OptiType	203	0.49391727493917276	1	243	0.5912408759124088
