modality	subjects	loci	baseline_callable	baseline_correct	guarded_correct	plurality_correct	baseline_accuracy	guarded_accuracy	plurality_accuracy	delta_points	plurality_delta_points	wins	losses	ties	discordant_correctness_subjects	ci_lo_points	ci_hi_points	p_value	holm_adjusted_p	holm_significant
wgs	137	411	176	79	205	164	0.1922141119221411	0.49878345498783455	0.39902676399026765	30.656934306569344	9.975669099756692	126	0	285	92	26.277372262773724	35.03649635036496	4.0389678347315804e-28	1.2116903504194741e-27	1
wes	130	390	339	328	369	365	0.841025641025641	0.9461538461538461	0.9358974358974359	10.512820512820513	1.0256410256410255	41	0	349	32	7.179487179487179	14.102564102564102	4.656612873077393e-10	9.313225746154785e-10	1
rnaseq	107	321	308	296	306	306	0.9221183800623053	0.9532710280373832	0.9532710280373832	3.115264797507788	0.0	10	0	311	10	1.557632398753894	4.984423676012461	0.001953125	0.001953125	1
