run_accession	submitted_ftp	submitted_md5	submitted_bytes
ERR188140	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188140/NA12716.7.M_120219_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188140/NA12716.7.M_120219_6_2.fastq.gz	edd8108b381727971a1533255693fbca;f1e23d12901ea5a05919fcf71f5b512a	4831944924;4858828297
ERR188146	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188146/HG00180.1.M_111124_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188146/HG00180.1.M_111124_8_2.fastq.gz	67f634cf23f2c6a425119d69963231fd;22a3cb61ae8c1d1624d87d7a3191a7bd	2325119084;2351972098
ERR188156	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188156/HG00335.2.M_111216_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188156/HG00335.2.M_111216_5_2.fastq.gz	277a7d32b22d369221b266d10ccbfd8a;837e3cfc813ae8a2f3d4fdf2690fade5	2488109659;2493825180
ERR188159	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188159/HG00245.4.M_120208_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188159/HG00245.4.M_120208_6_2.fastq.gz	b459c2d14d2a296570291cb19d234659;726f81c235dd8e6cce4715eed0862c5e	2138646642;2133653396
ERR188160	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188160/NA20513.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188160/NA20513.4.M_120208_1_2.fastq.gz	e9df442dfbb59c717182b4064fbdf656;539f8e447503fc13a7bc4833bc72a668	2011148427;2004062676
ERR188172	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188172/NA12154.5.M_120131_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188172/NA12154.5.M_120131_3_2.fastq.gz	9849376a405b8e363f530d5830fc0834;92f9378f1614ad9fad8f17160d1b21a5	1778983962;1788953576
ERR188175	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188175/HG00359.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188175/HG00359.1.M_111124_6_2.fastq.gz	11035957d1a967680b16d4c45ac9679b;3ee01b05cda9950463b9819f44850ec6	2114956675;2146312449
ERR188184	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188184/NA19147.2.M_120131_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188184/NA19147.2.M_120131_2_2.fastq.gz	6a8709aa7d77df62a113cb21c4281aed;972acbdfd5d78f562d790ea8945c7892	3614405871;3602121789
ERR188187	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188187/HG00176.4.M_120208_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188187/HG00176.4.M_120208_2_2.fastq.gz	7d136f066773d8724cbac24fe43fc9f8;30aebe3c8c5ad3ed4b18984a549d7f9f	1830276553;1816440601
ERR188188	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188188/NA19099.2.M_111215_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188188/NA19099.2.M_111215_7_2.fastq.gz	60d27ab6f8e16c4d0afb0f5b58dae60b;8935f9cc0ddd85b7e9ea3cfcdb0c9a8a	3106827252;3117831477
ERR188192	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188192/NA20786.2.M_111215_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188192/NA20786.2.M_111215_8_2.fastq.gz	4d6808320bd5fd48af3749d9addf9ed8;6b072850d7d1765a214c7f1338ed39a6	2600494428;2636426263
ERR188193	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188193/NA19141.6.M_120119_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188193/NA19141.6.M_120119_2_2.fastq.gz	3abe4780b71ccca17bc5f1eb20e22ff0;8e80f9965ef739cea2feb11ea315c024	1905249277;1909284611
ERR188197	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188197/HG00341.2.M_111216_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188197/HG00341.2.M_111216_7_2.fastq.gz	cf94514fa5430cb9ff1e1dea40123c00;49a2212ad60caa1cdef6e00e9029f334	2421079795;2428442429
ERR188219	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188219/HG00117.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188219/HG00117.1.M_111124_2_2.fastq.gz	ae8931b5c101dafdc37d908c4e0a240e;71867537161600e8f55771d91a5afbf1	3933150927;3989294503
ERR188227	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188227/NA12874.3.M_120202_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188227/NA12874.3.M_120202_2_2.fastq.gz	05b35302b60b763b0af07f1e26de9f3c;60b887c915f7373bc7604bc9c334629d	2215541219;2204667380
ERR188228	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188228/NA12829.7.M_120219_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188228/NA12829.7.M_120219_4_2.fastq.gz	bab878a640601d4f8b4e1f29b7149341;42d44570d3b186bfeace203582ac0b4c	3190604047;3227149826
ERR188233	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188233/NA11993.2.M_111216_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188233/NA11993.2.M_111216_4_2.fastq.gz	6ba339ece6b15fdc63048e44bf58b923;c65710084e4ea9b7320b1c98a2bc9394	2462542051;2470060444
