run_accession	submitted_ftp	submitted_md5	submitted_bytes
ERR204849	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204849/NA19107.1.M_120209_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204849/NA19107.1.M_120209_4_2.fastq.gz	6ae1c990dbcaccf006aadf7bde2cabc2;ba5d3cebad0e20c33b60a15c2ba9ecf3	1259370465;1260393654
ERR204851	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204851/NA18912.1.M_120209_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204851/NA18912.1.M_120209_5_2.fastq.gz	869d1dc7af4da886bc822f8e961f4691;4ca62d7df4c9f9a580b77bfdc41fc5d3	1188859707;1209346151
ERR204860	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204860/NA06986.1.M_120209_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204860/NA06986.1.M_120209_1_2.fastq.gz	03f465d21c6276f8d56f6c0c76182b91;5ecdd97c54e87826664ac64997ec3276	1734730128;1759926789
ERR204861	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204861/NA19095.3.M_120202_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204861/NA19095.3.M_120202_1_2.fastq.gz	fb6e5a9498833f00e68fbfc2db1f2ef8;7bfe6f701ffeee4f36bfbf3fada406dd	1519928830;1519624332
ERR204863	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204863/NA06986.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204863/NA06986.5.M_120131_5_2.fastq.gz	5f16db6cbf60fb0a9c1eab66291c5464;46ef982a6e59d778c5b10cd54be5743a	1940334969;1955442253
ERR204867	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204867/NA12004.1.M_120209_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204867/NA12004.1.M_120209_8_2.fastq.gz	b1da6a09f0c2de17fa7c617e5b97e064;2eba87f090f96797cae24096470eb146	1024134034;1040093578
ERR204874	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204874/NA20527.7.M_120219_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204874/NA20527.7.M_120219_8_2.fastq.gz	1565b369347bd4f83d31419b16794284;47b1a861c66937398919fe1aa9d3e376	2296613267;2298115244
ERR204876	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204876/NA11995.1.M_120209_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204876/NA11995.1.M_120209_5_2.fastq.gz	9207bcae5dd9f34c31f93e76e6dbe89d;033496d4b4a971bca6f4541ca045949b	942843218;954231228
ERR204880	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204880/NA19247.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204880/NA19247.1.M_120209_2_2.fastq.gz	d4ac1a2c0adcd945024fdcda48afb291;e45bc9159193f12d6ed4a23d996fb1d7	1193053559;1208221587
ERR204882	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204882/HG00099.1.M_120209_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204882/HG00099.1.M_120209_6_2.fastq.gz	dc32fc230d93854c8aa09934da3c606e;84e32d579eb22a8b5af3d953b0b8f04d	1405006308;1424966952
ERR204888	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204888/NA18934.1.M_120209_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204888/NA18934.1.M_120209_3_2.fastq.gz	0dd029dfca2a412f15ce9106bdda830e;4eadf49640cf65cd6d20439117577587	1360217048;1383386175
ERR204905	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204905/HG00378.1.M_120209_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204905/HG00378.1.M_120209_5_2.fastq.gz	7ec0d91cbd754e6dc46bcb53595539ca;245f9bc359485824fe5827679a123b28	1488093431;1507570218
ERR204907	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204907/NA12283.1.M_120209_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204907/NA12283.1.M_120209_4_2.fastq.gz	c03b351238cc6440ae6023617bd17c9a;016c35271dae072823553514efaa921d	734079648;749631214
ERR204911	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204911/NA20538.1.M_120209_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204911/NA20538.1.M_120209_5_2.fastq.gz	87a5332747bfb8180024e8efbf4a3354;df79a3a94a7a9a13222191b16f19b5f1	773092628;786766086
ERR204912	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204912/NA19099.1.M_120209_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204912/NA19099.1.M_120209_4_2.fastq.gz	714bc2137a4ce2d7962177ccc877eaa9;f244e8181017e04ddd2db08b73d4fef6	781531536;784537067
ERR204913	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204913/NA19143.1.M_120209_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204913/NA19143.1.M_120209_4_2.fastq.gz	2f63091482e64f7882762b0ccba0c455;86567c5113a406b02dfd702cc0d08b7b	1065434678;1067638387
ERR204915	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204915/NA12413.1.M_120209_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204915/NA12413.1.M_120209_6_2.fastq.gz	a11b9d0f49dfc3fd8171a2ce1cba60bb;c98d811fe5520512029b88d7687f1623	745545767;758184305
ERR204916	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204916/NA19225.6.M_120119_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204916/NA19225.6.M_120119_5_2.fastq.gz	754fe63e4a91db7da3f26d9b20758b87;1aefba276c009c835e722d38015ac5d3	1994176589;2005745890
ERR204918	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204918/NA20513.1.M_120209_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204918/NA20513.1.M_120209_6_2.fastq.gz	550a28a35368e4c23b35c485b344621d;c8c8861f20d10f69e2f768c8c8ccac23	1593188949;1609822990
ERR204925	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204925/NA18498.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204925/NA18498.1.M_120209_2_2.fastq.gz	41ae55fdd4ac4b67027abf6e49a1f7d1;aa3dbba4a9c03ed447162b490652d177	918485480;937859916
ERR204928	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204928/NA06994.1.M_120209_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204928/NA06994.1.M_120209_4_2.fastq.gz	1b3552cb6513f33a5e0a464ea7600315;0424cf41477a4fbf87d932b4edcde095	822584508;839811525
ERR204935	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204935/HG00375.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204935/HG00375.1.M_120209_2_2.fastq.gz	5256267422b7457ea58b97d960cd5e59;53526c09051cc47e293e3e3d532676b6	1401638086;1427860465
ERR204938	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204938/NA19257.1.M_120209_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204938/NA19257.1.M_120209_1_2.fastq.gz	57fd173fee2eaaee9a2f0d2de6ff6a63;d9e6caf310053d8b5e80a6bfd4623246	986924271;1002343805
ERR204941	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204941/NA12751.1.M_120209_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204941/NA12751.1.M_120209_6_2.fastq.gz	0bed2f4706b1f65c02acd712320746a9;c062219670b11b01edb43b8ec09cd996	976547724;994714694
ERR204945	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204945/NA12154.1.M_120209_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204945/NA12154.1.M_120209_3_2.fastq.gz	d848916cfa415ac59eaa98ee8421f308;4bea4750e89e573ae3af9be2b3416a35	1017702214;1036895194
ERR204948	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204948/NA19172.1.M_120209_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204948/NA19172.1.M_120209_8_2.fastq.gz	d1f658d474fbfac3e8aaab2fe82f33aa;4640a3b935aa4baafc80382fe959a4b4	1174566636;1198570720
ERR204949	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204949/NA18489.1.M_120209_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204949/NA18489.1.M_120209_8_2.fastq.gz	1fc9d65f070989db5d4629d651a12e60;2838b0673d181b3d0d4677dd8278c446	913233853;926838446
ERR204953	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204953/HG00355.5.M_120131_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204953/HG00355.5.M_120131_3_2.fastq.gz	a5c3e0871864357d94291df17fd1f263;d3397746f6d227b5160a6001fb99a199	2083462800;2086057161
ERR204960	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204960/NA07048.1.M_120209_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204960/NA07048.1.M_120209_8_2.fastq.gz	f0655feecccb4bedec2d3502263603fc;cc7689a97b71f7e3b8335d494b4b3b11	1065810779;1080595572
ERR204962	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204962/NA12813.1.M_120209_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204962/NA12813.1.M_120209_6_2.fastq.gz	0dff212fdf3ffdae8ee139eab95e2a30;1e4a79340c15b6b99a18c76254bbe39a	846709070;862737703
ERR204966	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204966/NA19200.1.M_120209_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204966/NA19200.1.M_120209_6_2.fastq.gz	8b445828c5fba33bee39454f535d382a;d177c11cde40c238b7914e6234ae9d44	1196872207;1208323664
ERR204967	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204967/NA11893.1.M_120209_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204967/NA11893.1.M_120209_4_2.fastq.gz	bad62b8023b2080160b4eb0b75f46db9;2c7686ca5d15c09de6b95e7f81f75040	892830772;909723160
ERR204988	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204988/NA19175.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204988/NA19175.1.M_120209_2_2.fastq.gz	ed91565d02503e9920e5ae66739209db;a80e885fa15eec51ff9ce43a1656d9c0	1141155674;1163925372
ERR204990	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204990/NA07037.1.M_120209_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204990/NA07037.1.M_120209_3_2.fastq.gz	8512d0dc8a4b8bc6b43bd33cd34f59b4;d3941eec47659d14498b37cd3c1fc472	1043335609;1062212879
ERR204999	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204999/NA10847.1.M_120209_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR204999/NA10847.1.M_120209_7_2.fastq.gz	5c1017fe83d8c87cb2afc8e803cf96bc;22152adca3f3f32651239da5f66b1dfb	1042789228;1059880931
ERR205004	ftp.sra.ebi.ac.uk/vol1/run/ERR205/ERR205004/HG00117.2.M_111216_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR205/ERR205004/HG00117.2.M_111216_4_2.fastq.gz	645e124f0bd21cc01d41403c36a51532;f27d2e383af6e00e5343b7d2295abcbd	2082354961;2088281308
ERR205008	ftp.sra.ebi.ac.uk/vol1/run/ERR205/ERR205008/NA20543.1.M_120209_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR205/ERR205008/NA20543.1.M_120209_8_2.fastq.gz	b5f27ab722d319434f75fc3d97ff6813;a4e7bf8686c6a8a4f4e82fbbc4971ff4	1254210918;1270585035
ERR205020	ftp.sra.ebi.ac.uk/vol1/run/ERR205/ERR205020/NA19198.1.M_120209_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR205/ERR205020/NA19198.1.M_120209_3_2.fastq.gz	2c112fc3a6d0a2b34fabb25d9fe15d42;917410c0a9b455b9ceb10ff08d68df27	1130567815;1149051002
ERR188025	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188025/HG00377.2.M_120131_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188025/HG00377.2.M_120131_2_2.fastq.gz	63eb668bd8c2605b6d6ba549fd333a4b;e8de9fb6028a9321222750ec02a5790f	2779312285;2770092917
ERR188030	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188030/NA19119.3.M_120202_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188030/NA19119.3.M_120202_4_2.fastq.gz	375259cc482f3b08facdfa0cdbb18577;885be51c5fccd136ad6da969d52eb0be	1273076951;1258645973
ERR188037	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188037/NA19236.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188037/NA19236.4.M_120208_1_2.fastq.gz	913618a0c476651a745b6056730fb8ca;fc4741402b12e691d8e22f0fb43d609a	1617318930;1631710225
ERR188038	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188038/HG00345.1.M_120209_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188038/HG00345.1.M_120209_1_2.fastq.gz	9a2cc072708263e83a6324808be6bdf7;beaee5b0bc627e665c1d29cc27b49876	1896051218;1936523880
ERR188057	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188057/HG00262.2.M_111215_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188057/HG00262.2.M_111215_8_2.fastq.gz	8bb1823e75ae4a733a8bb5d4dc3340b4;d599c79977bfe37fa595c626ed4fcf60	2951746688;2953233292
ERR188062	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188062/NA11992.6.M_120119_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188062/NA11992.6.M_120119_5_2.fastq.gz	1521ac1881adde8db58dd9e36755c420;a7aa132600f53e567c22b25d805b5059	1561514563;1578951921
ERR188070	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188070/HG00263.6.M_120119_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188070/HG00263.6.M_120119_3_2.fastq.gz	762a3ccfdf2d42675a12fac4e00b60ad;acc374adb35f099da6cc32cb2613a593	1848547197;1856217699
ERR188072	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188072/NA19137.1.M_111124_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188072/NA19137.1.M_111124_7_2.fastq.gz	3f6832b0a098567d42267050fa9115ef;1fb2f978fca3d382b18d49056ca69e08	2202591574;2221106497
ERR188074	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188074/NA19257.6.M_120119_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188074/NA19257.6.M_120119_2_2.fastq.gz	7ded553961882dbd817790da7f72a7cf;b6db18bce56fbbc65e52e82ffd8ff900	2096808753;2120863424
ERR188077	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188077/NA11893.7.M_120219_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188077/NA11893.7.M_120219_3_2.fastq.gz	1f1ac68fac3b01adb7d91ad80f828664;17d6492ec582604cacba8c5628ff473c	3365705167;3404505910
ERR188081	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188081/NA12814.7.M_120219_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188081/NA12814.7.M_120219_3_2.fastq.gz	b5f170379605a3b4084bfa315c4ed06c;f786db415a89e833803340545ec62d1e	3519550268;3566686570
ERR188085	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188085/NA18520.1.M_111124_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188085/NA18520.1.M_111124_1_2.fastq.gz	489ba24030a29055e9ead4b325cb9f2b;bb3aee3edf572b082f49c06fd1f63e57	1820890799;1833768623
ERR188089	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188089/HG00358.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188089/HG00358.5.M_120131_5_2.fastq.gz	b6b81851ab5daa77cee735b26910e3f1;23e5d74a195ffa1614638c19a1958816	2005734896;2017418389
ERR188090	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188090/HG00186.3.M_120202_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188090/HG00186.3.M_120202_5_2.fastq.gz	94251831a84f3f2e88b4fe85471e93d9;82dabfd4061f374dd140e9ef5a34b7b3	1214746455;1197945277
ERR188094	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188094/NA20806.3.M_120202_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188094/NA20806.3.M_120202_5_2.fastq.gz	ffdcf35c0c5a6ea2a92adcdfee7ade8b;16fde18a8168b06e7d4decc42d4ad60e	1420307364;1414164249
ERR188114	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188114/NA20534.2.M_111215_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188114/NA20534.2.M_111215_8_2.fastq.gz	88e499a0816792374bfabfb7a30b240e;e705899126bc24ce5cacf02c34244ffc	2742067361;2782579068
ERR188119	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188119/HG00119.2.M_111216_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188119/HG00119.2.M_111216_6_2.fastq.gz	3e2e8575e0bd1c857aaf517ee9e071c3;a05897b80471e2d72a7f0042f64aeb2a	2581223354;2590053747
ERR188123	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188123/HG00313.2.M_111216_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188123/HG00313.2.M_111216_6_2.fastq.gz	59c27ee60e94771cb8f1fef31fda1445;eec46825312ea6de738e9a1b54073463	2112573491;2119084131
ERR188131	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188131/NA19213.2.M_111215_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188131/NA19213.2.M_111215_6_2.fastq.gz	7b7fdc59f53868ae2e5b322801874145;8ca5fd684b400fd6433921a5be93c5c8	2804135897;2845511755
ERR188133	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188133/HG00135.3.M_120202_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188133/HG00135.3.M_120202_8_2.fastq.gz	fb2c1ae8a5190b94e64f52fcf468ab56;b3c9add6b3d3a72c79516c67a0770c51	1172429705;1179455538
ERR188135	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188135/NA07346.2.M_111215_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188135/NA07346.2.M_111215_7_2.fastq.gz	ded98f3cf2114aaa5bcb99dabc54097c;5e04e2f587a0d18ea3c8705cc4b9a8f4	2562372588;2600164045
ERR188136	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188136/HG00103.4.M_120208_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188136/HG00103.4.M_120208_3_2.fastq.gz	a87e43eb5055d18a08ce06010f376490;17c714922e42931c0bc1372b6bce2043	1912843463;1922571541
ERR188138	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188138/NA20539.4.M_120208_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188138/NA20539.4.M_120208_5_2.fastq.gz	cf150a1b5d4f81ecf8a164d46cf9e05d;25b44ced67b1d8cc5e6f061af0b658f4	2002486516;1998767107
ERR188143	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188143/NA18487.6.M_120119_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188143/NA18487.6.M_120119_5_2.fastq.gz	8f76ddf800216cf5627c5482bd084d4a;ccf49cec18710ca440d81f3c6cdafcf5	1516810954;1535609821
ERR188145	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188145/NA20519.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188145/NA20519.1.M_111124_5_2.fastq.gz	6b2cade76dbfaf385dde6e5c3d8f1317;e8702120536afcb94da2675f06956053	2581214510;2598730004
ERR188148	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188148/NA12282.3.M_120202_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188148/NA12282.3.M_120202_7_2.fastq.gz	2d7516e2eebd7c2e5cd08a5bc54482a9;3cd7af87d0f220fb39de9ebf4089c4d7	1316047927;1297924557
ERR188157	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188157/NA12872.2.M_111216_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188157/NA12872.2.M_111216_2_2.fastq.gz	c377bf65005c03449c0dd4c8de1edad0;0b6bbfc582ae38d63434e282fe5d763e	2631562924;2646247627
ERR188158	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188158/NA18502.7.M_120219_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188158/NA18502.7.M_120219_8_2.fastq.gz	4451826a6d69ac622a2364876c5f1f1c;fc61810b1b255b1d1144205dfb91b4ff	4537742573;4544198698
ERR188165	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188165/NA18510.3.M_120202_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188165/NA18510.3.M_120202_7_2.fastq.gz	7d51f1398489e93082ad982ab8cecf94;dad6366cbb07188acd6a879e3d0a0e23	1639933051;1619380913
ERR188167	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188167/HG00106.4.M_120208_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188167/HG00106.4.M_120208_5_2.fastq.gz	286a4b19eb51b7697232b1f2dda53c8b;0c15a9b26ce1691be4199293220dffc1	2038736767;2058288172
ERR188169	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188169/HG00338.2.M_111215_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188169/HG00338.2.M_111215_8_2.fastq.gz	3c3576ee454eb38c608d58eba75f5892;70dae4be36d0437065ef95315bbddf59	3615716627;3639024174
ERR188177	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188177/NA12234.7.M_120219_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188177/NA12234.7.M_120219_6_2.fastq.gz	29a789a29b66eb39f2b1b4e55c8b8b45;b92eb487daa19c33ae4a69611756f782	2729895429;2751610797
ERR188180	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188180/HG00177.4.M_120208_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188180/HG00177.4.M_120208_8_2.fastq.gz	fa2d894b5f820291136020b3c22164e4;e0c0848f782e97932bfa2e5997b25506	2065600511;2060605393
ERR188182	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188182/NA18912.7.M_120219_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188182/NA18912.7.M_120219_3_2.fastq.gz	a2b8345583da25b61ea32c2b119e0253;1ebf45a3b04e2b7859849ea93e1afb43	3597863764;3643722654
ERR188196	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188196/NA12717.1.M_111124_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188196/NA12717.1.M_111124_3_2.fastq.gz	bbea9ccac97068e03efb1df5b2c545af;38c4d477411c42427bd3921745f4756e	1939162513;1962896860
ERR188198	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188198/HG00373.2.M_111215_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188198/HG00373.2.M_111215_6_2.fastq.gz	f1aa590f203d4bebdf900569b92f333d;8aeba231021c21307b78cf89034928b9	3083564934;3126509343
ERR188200	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188200/NA18519.1.M_111124_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188200/NA18519.1.M_111124_3_2.fastq.gz	9be2e2de62c3907d4d2096452b7e6687;b43ae66da65226053901aef6bd498e2e	1737307001;1762397209
ERR188201	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188201/NA20588.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188201/NA20588.5.M_120131_5_2.fastq.gz	435555d4446ce45aae4bf99d014aa2b1;b2157d48fd347ca38f50b40edbcc871c	2068058439;2078096370
ERR188204	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188204/NA20524.2.M_111215_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188204/NA20524.2.M_111215_8_2.fastq.gz	5c0bfd05a70035f4552c805a87e7ccdb;f60888e141ce19fdafefae53ef012d28	2555175110;2587448193
ERR188206	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188206/HG00100.2.M_111215_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188206/HG00100.2.M_111215_8_2.fastq.gz	ca8993f4e0e84a087bcd74537d4d471d;dfe2fcfe697e13e0d44fa70f15be3778	1761015151;1761503984
ERR188212	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188212/HG00231.2.M_111216_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188212/HG00231.2.M_111216_2_2.fastq.gz	947850b0bba81d2ee3529b850682a4f2;97b9db1815806a08108f2bd4c081183d	2374936350;2393663686
ERR188217	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188217/NA11832.2.M_120131_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188217/NA11832.2.M_120131_2_2.fastq.gz	9403e6982005cd76fd5307e9faf4dea2;a212738d4e7fc4191257f87c34c434cd	2763883565;2759876571
