subject	sample_title	run_accession	study_accession	sample_accession	experiment_accession	library_strategy	library_source	library_layout	instrument_platform	base_count	read_count	read1_url	read2_url
HS 578T	HS578T_BREAST	SRR8619110	PRJNA523380	SAMN10987893	SRX5417977	WXS	GENOMIC	PAIRED	ILLUMINA	7184778256	47268278	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8619110/SRR8619110_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8619110/SRR8619110_2.fastq.gz
K-562	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SRR8618968	PRJNA523380	SAMN10988357	SRX5418119	WXS	GENOMIC	PAIRED	ILLUMINA	7036473832	46292591	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8618968/SRR8618968_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8618968/SRR8618968_2.fastq.gz
SF-295	SF295_CENTRAL_NERVOUS_SYSTEM	SRR8619087	PRJNA523380	SAMN10987772	SRX5418000	WXS	GENOMIC	PAIRED	ILLUMINA	6062606184	39885567	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8619087/SRR8619087_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8619087/SRR8619087_2.fastq.gz
