Tool	AFR_A	AFR_B	AFR_C	AFR_DRB1	AFR_DQB1	AMR_A	AMR_B	AMR_C	AMR_DRB1	AMR_DQB1	EAS_A	EAS_B	EAS_C	EAS_DRB1	EAS_DQB1	EUR_A	EUR_B	EUR_C	EUR_DRB1	EUR_DQB1
arcashla	0.200	0.000	0.100	0.100	0.200	0.125	0.000	0.125	0.375	0.500	0.000	0.000	0.000	0.700	0.000	0.050	0.100	0.400	0.650	0.400
hlahd	0.400	0.400	0.200	0.100	0.000	0.125	0.125	0.125	0.375	0.375	0.000	0.000	0.000	0.000	0.000	0.450	0.350	0.450	0.450	0.350
kourami	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
optitype	1.000	1.000	0.600	NA	NA	1.000	0.875	0.875	NA	NA	0.900	0.900	1.000	NA	NA	0.950	1.000	0.900	NA	NA
polysolver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq2hla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spechla	0.800	0.700	0.600	0.500	0.200	0.625	0.500	0.625	0.625	0.375	0.700	0.200	0.900	0.700	0.400	0.550	0.450	0.750	0.550	0.500
t1k	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
