Tool	AFR_A	AFR_B	AFR_C	AFR_DRB1	AFR_DQB1	EAS_A	EAS_B	EAS_C	EAS_DRB1	EAS_DQB1	EUR_A	EUR_B	EUR_C	EUR_DRB1	EUR_DQB1
arcashla	0.000	0.273	0.000	0.091	0.182	0.000	0.125	0.125	0.750	0.250	0.000	0.043	0.000	0.435	0.261
hlahd	0.636	0.545	0.000	0.455	0.727	0.250	0.125	0.000	1.000	0.750	0.348	0.391	0.217	0.957	0.783
kourami	0.182	0.000	0.091	0.636	NA	0.000	0.250	0.000	1.000	NA	0.174	0.130	0.130	0.957	NA
optitype	0.636	0.818	0.273	NA	NA	0.375	0.625	0.500	NA	NA	0.609	0.739	0.348	NA	NA
polysolver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spechla	0.182	0.182	0.182	0.364	0.727	0.125	0.250	0.000	0.875	0.750	0.174	0.261	0.174	0.913	0.783
t1k	0.091	0.000	0.091	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.087	0.087	0.087	0.174	0.174
